name,image_url
Leon Bailey,https://resources.premierleague.com/premierleague/photos/players/40x40/p215711.png
Eric Bailly,https://resources.premierleague.com/premierleague/photos/players/40x40/p197365.png
Stefan Bajcetic,https://resources.premierleague.com/premierleague/photos/players/40x40/p535928.png
Benicio Baker-Boaitey,https://resources.premierleague.com/premierleague/photos/players/40x40/p475480.png
Ellery Balcombe,https://resources.premierleague.com/premierleague/photos/players/40x40/p235448.png
Carlos Baleba,https://resources.premierleague.com/premierleague/photos/players/40x40/p535301.png
Dominic Ball,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Dom Ballard,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Emilio Ballard-Matthews,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Fodé Ballo-Touré,https://resources.premierleague.com/premierleague/photos/players/40x40/p225897.png
Folarin Balogun,https://resources.premierleague.com/premierleague/photos/players/40x40/p232223.png
Shandon Baptiste,https://resources.premierleague.com/premierleague/photos/players/40x40/p432160.png
Valentín Barco,https://resources.premierleague.com/premierleague/photos/players/40x40/p543158.png
Owen Barker,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Ross Barkley,https://resources.premierleague.com/premierleague/photos/players/40x40/p88894.png
Harvey Barnes,https://resources.premierleague.com/premierleague/photos/players/40x40/p201666.png
Ty Barnett,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Enzo Barrenechea,https://resources.premierleague.com/premierleague/photos/players/40x40/p491287.png
Luca Barrington,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Calvin Bassey,https://resources.premierleague.com/premierleague/photos/players/40x40/p232892.png
Callum Bates,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Stevie Bausor,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Altay Bayindir,https://resources.premierleague.com/premierleague/photos/players/40x40/p451302.png
Gavin Bazunu,https://resources.premierleague.com/premierleague/photos/players/40x40/p456350.png
Eddie Beach,https://resources.premierleague.com/premierleague/photos/players/40x40/p474803.png
Mads Bech,https://resources.premierleague.com/premierleague/photos/players/40x40/p228044.png
Owen Beck,https://resources.premierleague.com/premierleague/photos/players/40x40/p430992.png
Jan Bednarek,https://resources.premierleague.com/premierleague/photos/players/40x40/p171771.png
Asmir Begovic,https://resources.premierleague.com/premierleague/photos/players/40x40/p40349.png
Armel Bella-Kotchap,https://resources.premierleague.com/premierleague/photos/players/40x40/p477386.png
Jean-Ricner Bellegarde,https://resources.premierleague.com/premierleague/photos/players/40x40/p231057.png
Ben Nelson,https://resources.premierleague.com/premierleague/photos/players/40x40/p501770.png
Steven Benda,https://resources.premierleague.com/premierleague/photos/players/40x40/p428971.png
